impl_name,scenario,N,ns_per_op
go_slice_int64,ADVERSARIAL_HOTSPOT,1000,0.0
numpy_int64,ADVERSARIAL_HOTSPOT,1000,1898.6
py_array_q,ADVERSARIAL_HOTSPOT,1000,1886.2
py_list,ADVERSARIAL_HOTSPOT,1000,1791.5
rust_vec_i64,ADVERSARIAL_HOTSPOT,1000,27.5
sec3,ADVERSARIAL_HOTSPOT,1000,49.2
sec4,ADVERSARIAL_HOTSPOT,1000,45.9
std_vector,ADVERSARIAL_HOTSPOT,1000,34.2
std_vector_direct,ADVERSARIAL_HOTSPOT,1000,25.4
go_slice_int64,ADVERSARIAL_HOTSPOT,10000,53.98
numpy_int64,ADVERSARIAL_HOTSPOT,10000,2897.89
py_array_q,ADVERSARIAL_HOTSPOT,10000,2772.18
py_list,ADVERSARIAL_HOTSPOT,10000,3352.48
rust_vec_i64,ADVERSARIAL_HOTSPOT,10000,32.99
sec3,ADVERSARIAL_HOTSPOT,10000,54.69
sec4,ADVERSARIAL_HOTSPOT,10000,50.07
std_vector,ADVERSARIAL_HOTSPOT,10000,19.21
std_vector_direct,ADVERSARIAL_HOTSPOT,10000,21.38
go_slice_int64,ADVERSARIAL_HOTSPOT,100000,35.105
numpy_int64,ADVERSARIAL_HOTSPOT,100000,1996.174
py_array_q,ADVERSARIAL_HOTSPOT,100000,1985.973
py_list,ADVERSARIAL_HOTSPOT,100000,2235.614
rust_vec_i64,ADVERSARIAL_HOTSPOT,100000,34.78
sec3,ADVERSARIAL_HOTSPOT,100000,51.731
sec4,ADVERSARIAL_HOTSPOT,100000,45.222
std_vector,ADVERSARIAL_HOTSPOT,100000,22.911
std_vector_direct,ADVERSARIAL_HOTSPOT,100000,17.522
go_slice_int64,ADVERSARIAL_HOTSPOT,1000000,85.2461
numpy_int64,ADVERSARIAL_HOTSPOT,1000000,2388.0129
py_array_q,ADVERSARIAL_HOTSPOT,1000000,2123.9138
py_list,ADVERSARIAL_HOTSPOT,1000000,4251.6932
rust_vec_i64,ADVERSARIAL_HOTSPOT,1000000,32.8375
sec3,ADVERSARIAL_HOTSPOT,1000000,100.5273
sec4,ADVERSARIAL_HOTSPOT,1000000,102.9895
std_vector,ADVERSARIAL_HOTSPOT,1000000,47.0852
std_vector_direct,ADVERSARIAL_HOTSPOT,1000000,35.7079
go_slice_int64,ADVERSARIAL_HOTSPOT,10000000,105.2552
numpy_int64,ADVERSARIAL_HOTSPOT,10000000,2148.6892
py_array_q,ADVERSARIAL_HOTSPOT,10000000,2141.7165
py_list,ADVERSARIAL_HOTSPOT,10000000,2177.3666
rust_vec_i64,ADVERSARIAL_HOTSPOT,10000000,40.351
sec3,ADVERSARIAL_HOTSPOT,10000000,201.125
sec4,ADVERSARIAL_HOTSPOT,10000000,222.5047
std_vector,ADVERSARIAL_HOTSPOT,10000000,56.1817
std_vector_direct,ADVERSARIAL_HOTSPOT,10000000,54.2415
go_slice_int64,ADVERSARIAL_HOTSPOT,100000000,353.3182
numpy_int64,ADVERSARIAL_HOTSPOT,100000000,2301.9385
py_array_q,ADVERSARIAL_HOTSPOT,100000000,2549.4695
py_list,ADVERSARIAL_HOTSPOT,100000000,2270.8678
rust_vec_i64,ADVERSARIAL_HOTSPOT,100000000,52.931
sec3,ADVERSARIAL_HOTSPOT,100000000,204.7772
sec4,ADVERSARIAL_HOTSPOT,100000000,179.2359
std_vector,ADVERSARIAL_HOTSPOT,100000000,62.0607
std_vector_direct,ADVERSARIAL_HOTSPOT,100000000,50.4503
go_slice_int64,INIT_ONLY,1000,0.0
numpy_int64,INIT_ONLY,1000,0.0
py_array_q,INIT_ONLY,1000,0.0
py_list,INIT_ONLY,1000,0.0
rust_vec_i64,INIT_ONLY,1000,0.0
sec3,INIT_ONLY,1000,200.0
sec4,INIT_ONLY,1000,400.0
std_vector,INIT_ONLY,1000,500.0
std_vector_direct,INIT_ONLY,1000,500.0
go_slice_int64,INIT_ONLY,10000,0.0
numpy_int64,INIT_ONLY,10000,0.0
py_array_q,INIT_ONLY,10000,0.0
py_list,INIT_ONLY,10000,0.0
rust_vec_i64,INIT_ONLY,10000,0.0
sec3,INIT_ONLY,10000,200.0
sec4,INIT_ONLY,10000,300.0
std_vector,INIT_ONLY,10000,3800.0
std_vector_direct,INIT_ONLY,10000,2200.0
go_slice_int64,INIT_ONLY,100000,0.0
numpy_int64,INIT_ONLY,100000,0.0
py_array_q,INIT_ONLY,100000,0.0
py_list,INIT_ONLY,100000,0.0
rust_vec_i64,INIT_ONLY,100000,0.0
sec3,INIT_ONLY,100000,100.0
sec4,INIT_ONLY,100000,300.0
std_vector,INIT_ONLY,100000,38400.0
std_vector_direct,INIT_ONLY,100000,25100.0
go_slice_int64,INIT_ONLY,1000000,0.0
numpy_int64,INIT_ONLY,1000000,0.0
py_array_q,INIT_ONLY,1000000,0.0
py_list,INIT_ONLY,1000000,0.0
rust_vec_i64,INIT_ONLY,1000000,0.0
sec3,INIT_ONLY,1000000,100.0
